,Intercept,Description1[T.LiveSalmonella],Description1[T.Probiotics-AND-LiveSalmonella],Unknown[T.B]
y370,1.03E-07,0.88438925,0.88438925,0.88438925
y162,0.884742809,0.738683648,0.884742809,0.385479877
y274,0.887252759,0.880292502,0.887252759,0.880292502
y385,1.91E-08,0.497711955,0.887446739,0.189833383
y470,2.66E-08,0.888775131,0.888775131,0.359227891
y230,0.890379498,0.890379498,0.890379498,0.713296849
y437,5.76E-09,0.778191975,0.891013102,0.156770175
y227,0.892233719,0.892233719,0.892233719,0.892233719
y484,0.893704836,0.89350781,0.89350781,0.89350781
y401,0.002014886,0.89494796,0.89494796,0.89494796
y501,3.11E-14,0.895654188,0.895654188,0.895654188
y62,0.133894844,0.895909673,0.895909673,0.895909673
y296,0.896666088,0.701821936,0.896666088,0.896666088
y209,0.898495075,0.898495075,0.898495075,0.898495075
y217,6.32E-05,0.68875549,0.902744278,0.68875549
y154,0.037122147,0.903142084,0.903142084,0.903142084
y118,0.903772378,0.903772378,0.903772378,0.903772378
y197,0.904159853,0.827072362,0.904159853,0.904159853
y502,1.15E-07,0.904231964,0.904231964,0.313991892
y48,0.200311976,0.90543758,0.90543758,0.726880029
y183,0.908053533,0.908053533,0.908053533,0.908053533
y127,0.909241478,0.909241478,0.909241478,0.909241478
y393,3.90E-09,0.910890773,0.910890773,0.910890773
y113,0.910922048,0.910922048,0.910922048,0.910922048
y247,0.000100915,0.911459565,0.911459565,0.911459565
y414,7.16E-08,0.679773332,0.911984244,0.170337518
y54,0.912053016,0.172660965,0.912053016,0.912053016
y461,3.94E-07,0.895862779,0.913699116,0.325649222
y284,0.916731332,0.916731332,0.916731332,0.717059822
y216,2.76E-08,0.424286726,0.918846672,0.119608312
y488,8.70E-07,0.83742839,0.920775125,0.315137731
y39,0.972938219,0.920861685,0.920861685,0.920861685
y91,0.922049952,0.202344895,0.922049952,0.518993818
y438,3.29E-07,0.630431682,0.923768887,0.179967851
y418,1.01E-08,0.924436033,0.924436033,0.924436033
y327,0.000176338,0.925683085,0.925683085,0.05558008
y44,0.835109886,0.730825942,0.927424059,0.730825942
y218,0.929135869,0.929135869,0.929135869,0.929135869
y256,0.053740969,0.573207872,0.931054118,0.573207872
y295,0.177525685,0.177525685,0.93239044,0.93239044
y439,1.44E-06,0.588422459,0.934640404,0.190254276
y185,0.935402372,0.935402372,0.935402372,0.935402372
y46,0.572507248,0.304721148,0.936342975,0.936342975
y409,0.936472704,0.936472704,0.936472704,0.936472704
y166,0.936496305,0.936496305,0.936496305,0.936496305
y240,0.936646372,0.921487893,0.936646372,0.921487893
y164,8.20E-08,0.85617669,0.936681484,0.617661992
y188,0.40244138,0.553536375,0.939603503,0.730884345
y485,4.73E-17,0.494113367,0.939915461,0.693693772
y152,0.869846149,0.316931345,0.940170315,0.316931345
y436,3.55E-07,0.943567493,0.943567493,0.943567493
y433,0.944967222,0.944967222,0.944967222,0.944967222
y34,0.946873152,0.946873152,0.946873152,0.946873152
y323,1.60E-20,0.931553109,0.947246781,0.235000878
y388,0.927057839,0.447900721,0.947992048,0.447900721
y448,0.927057839,0.447900721,0.947992048,0.447900721
y416,0.927057839,0.447900721,0.947992048,0.447900721
y449,0.927057839,0.447900721,0.947992048,0.447900721
y456,0.927057839,0.447900721,0.947992048,0.447900721
y462,0.927057839,0.447900721,0.947992048,0.447900721
y471,0.927057839,0.447900721,0.947992048,0.447900721
y367,0.927057839,0.447900721,0.947992048,0.447900721
y465,0.927057839,0.447900721,0.947992048,0.447900721
y366,0.927057839,0.447900721,0.947992048,0.447900721
y415,0.927057839,0.447900721,0.947992048,0.447900721
y432,0.927057839,0.447900721,0.947992048,0.447900721
y457,0.927057839,0.447900721,0.947992048,0.447900721
y445,0.927057839,0.447900721,0.947992048,0.447900721
y389,0.927057839,0.447900721,0.947992048,0.447900721
y451,0.927057839,0.447900721,0.947992048,0.447900721
y347,0.927057839,0.447900721,0.947992048,0.447900721
y466,0.927057839,0.447900721,0.947992048,0.447900721
y477,0.927057839,0.447900721,0.947992048,0.447900721
y440,1.13E-05,0.537406982,0.949099239,0.206225815
y395,0.059897497,0.645604887,0.950540171,0.616455574
y260,0.002857913,0.714758959,0.951528474,0.714758959
y261,0.29956776,0.952849283,0.952849283,0.952849283
y390,0.953585859,0.953585859,0.953585859,0.953585859
y396,0.000314323,0.959640824,0.959640824,0.959640824
y391,1.39E-08,0.960489181,0.960489181,0.960489181
y278,0.961229189,0.153800457,0.961229189,0.961229189
y122,0.96153225,0.555579233,0.96153225,0.96153225
y316,0.96182968,0.96182968,0.96182968,0.96182968
y411,2.20E-14,0.962340478,0.962340478,0.962340478
y508,2.03E-07,0.962638244,0.962638244,0.962638244
y139,1.67E-09,0.963337163,0.963337163,0.963337163
y339,0.965966331,0.859942262,0.965966331,0.859942262
y311,0.965966331,0.859942262,0.965966331,0.859942262
y346,0.965966331,0.859942262,0.965966331,0.859942262
y337,0.965966331,0.859942262,0.965966331,0.859942262
y291,0.965966331,0.859942262,0.965966331,0.859942262
y303,0.965966331,0.859942262,0.965966331,0.859942262
y286,0.965966331,0.859942262,0.965966331,0.859942262
y355,0.965966331,0.859942262,0.965966331,0.859942262
y321,0.965966331,0.859942262,0.965966331,0.859942262
y352,0.965966331,0.859942262,0.965966331,0.859942262
y365,0.965966331,0.859942262,0.965966331,0.859942262
y324,0.965966331,0.859942262,0.965966331,0.859942262
y509,0.965966331,0.859942262,0.965966331,0.859942262
y310,0.965966331,0.859942262,0.965966331,0.859942262
y325,0.965966331,0.859942262,0.965966331,0.859942262
y350,0.965966331,0.859942262,0.965966331,0.859942262
y349,0.965966331,0.859942262,0.965966331,0.859942262
y309,0.965966331,0.859942262,0.965966331,0.859942262
y335,0.965966331,0.859942262,0.965966331,0.859942262
y336,0.965966331,0.859942262,0.965966331,0.859942262
y322,0.965966331,0.859942262,0.965966331,0.859942262
y351,0.965966331,0.859942262,0.965966331,0.859942262
y340,0.965966331,0.859942262,0.965966331,0.859942262
y364,0.965966331,0.859942262,0.965966331,0.859942262
y348,0.965966331,0.859942262,0.965966331,0.859942262
y504,0.965966331,0.859942262,0.965966331,0.859942262
y338,0.965966331,0.859942262,0.965966331,0.859942262
y37,0.966064607,0.918244289,0.966064607,0.918244289
y150,0.968717843,0.968717843,0.968717843,0.968717843
y314,0.770781904,0.509568807,0.969790353,0.509568807
y475,6.89E-06,0.432249027,0.971167682,0.432249027
